NTest	timeS	timeE	runTime	runCount	year	startingP
39	1.32008367454	1.35107966573	0.0309959911899	10	100	2
40	1.35110197656	1.38144381419	0.0303418376271	10	100	2
41	1.38146612502	1.40885757836	0.0273914533454	10	100	2
42	1.40887810433	1.43955638929	0.0306782849575	10	100	2
43	1.43957423795	1.51039416991	0.0708199319609	10	100	2
44	1.51041737318	1.58265582777	0.0722384545912	10	100	2
45	1.58267501508	1.62602183606	0.0433468209743	10	100	2
46	1.62604146959	1.67029589516	0.0442544255764	10	100	2
47	1.67031062031	1.70098667419	0.0306760538744	10	100	2
48	1.70100229177	1.73188539015	0.0308830983854	10	100	2
49	1.73190100774	1.76971608129	0.0378150735543	10	100	2
50	1.76974017699	1.80278787219	0.0330476952019	10	100	2
51	1.80281018302	1.83636076435	0.033550581331	10	100	2
52	1.83638441383	1.8700246847	0.0336402708713	10	100	2
53	1.87004788797	2.01585273781	0.145804849839	10	100	2
54	2.01592324003	2.12091488686	0.104991646825	10	100	2
55	2.12093228931	2.15375241403	0.0328201247265	10	100	2
56	2.1537675854	2.18491618267	0.0311485972734	10	100	2
57	2.18493180025	2.21513174099	0.0301999407424	10	100	2
58	2.21514735858	2.2486037882	0.0334564296245	10	100	2
59	2.248619852	2.27814868295	0.0295288309482	10	100	2
60	2.27816519296	2.31669287446	0.0385276814941	10	100	2
61	2.3167156315	2.34888115645	0.0321655249471	10	100	2
62	2.34890302106	2.37766391321	0.0287608921477	10	100	2
63	2.37768622404	2.41385788179	0.0361716577483	10	100	2
64	2.41388063884	2.44149877023	0.0276181313876	10	100	2
65	2.44152331214	2.4736085181	0.0320852059557	10	100	2
66	2.47363573731	2.50452374408	0.0308880067682	10	100	2
67	2.50454605491	2.5392206559	0.0346746009931	10	100	2
68	2.53924341295	2.57140001356	0.0321566006147	10	100	2
69	2.57142098575	2.600898948	0.0294779622536	10	100	2
70	2.60092170505	2.62948893918	0.0285672341352	10	100	2
71	2.62950411055	2.66182358023	0.0323194696805	10	100	2
72	2.6619114849	2.68953452467	0.0276230397704	10	100	2
73	2.68954924982	2.71806338418	0.0285141343576	10	100	2
74	2.71807855554	2.74668461052	0.028606054981	10	100	2
75	2.74670067432	2.77690641588	0.0302057415585	10	100	2
76	2.7769229259	2.8065659883	0.0296430624025	10	100	2
77	2.80658115966	2.84168278996	0.035101630297	10	100	2
78	2.84170554701	2.87568538873	0.033979841718	10	100	2
79	2.87570680712	2.90566579089	0.0299589837684	10	100	2
80	2.90568765551	2.93707007029	0.0313824147816	10	100	2
81	2.93709371977	2.96898972988	0.0318960101095	10	100	2
82	2.96901650288	3.00090894325	0.0318924403765	10	100	2
83	3.00093036165	3.02755833836	0.0266279767111	10	100	2
84	3.02758555757	3.06111695159	0.0335313940164	10	100	2
85	3.06114506324	3.09610658152	0.0349615182788	10	100	2
86	3.09613246208	3.12849209126	0.0323596291761	10	100	2
87	3.12851841804	3.16534065962	0.0368222415781	10	100	2
88	3.16536029315	3.22450630593	0.0591460127868	10	100	2
89	3.2245241546	3.293610535	0.0690863803979	10	100	2
90	3.29364355503	3.35162985082	0.0579862957952	10	100	2
91	3.35166465572	3.39881859688	0.0471539411637	10	100	2
92	3.39884090771	3.42867539704	0.0298344893319	10	100	2
93	3.42869681544	3.46401084485	0.0353140294075	10	100	2
94	3.46403270946	3.49777962611	0.0337469166432	10	100	2
95	3.49780416802	3.53173581834	0.0339316503232	10	100	2
96	3.53175946782	3.56728500391	0.0355255360846	10	100	2
97	3.56730776096	3.59948444132	0.0321766803625	10	100	2
98	3.59950585972	3.63380742362	0.0343015639	10	100	2
99	3.6338283958	3.66255448305	0.0287260872514	10	100	2
