Area	Name	Age	MarriageStatus	kidsAges	StudentD	Income	Housetype	nRooms	JobType
1	176	46	0	[11, 2, 2, 17]	0	5668	1	1	1	
1	177	81	0	[]	0	103125	3	4	2	
1	178	53	0	[12, 0, 2]	0	1466	1	2	1	
1	179	19	1	[]	3	13204	2	4	1	
1	180	23	0	[]	3	1427	3	4	1	
1	181	35	0	[8, 9, 10]	0	3075	3	2	1	
1	182	49	1	[3, 1]	0	100352	1	2	1	
1	183	19	0	[1]	0	4687	3	5	1	
1	184	56	0	[16, 15, 9, 15]	0	1298	3	2	1	
1	185	33	0	[8, 15, 8, 10]	0	107310	3	5	1	
1	186	43	1	[]	0	109927	3	2	1	
1	187	26	1	[14]	0	1181	3	3	1	
1	188	53	0	[15, 2, 7]	0	15226	3	3	1	
1	189	18	0	[13, 0, 5]	3	22439	2	3	1	
1	190	75	1	[14, 0, 16]	0	4077	1	3	2	
1	191	72	0	[14, 16, 14]	0	15391	1	3	2	
1	192	59	0	[0, 13, 2, 1]	0	13358	3	3	1	
1	193	88	1	[4]	0	14066	3	4	2	
1	194	21	0	[8, 13, 15, 2]	1	7698	3	4	1	
1	195	19	0	[]	0	9670	1	2	1	
1	196	47	0	[1]	0	11433	1	2	1	
1	197	72	0	[5, 12, 4]	0	1984	3	2	2	
1	198	57	0	[7, 8, 12, 3]	0	853	3	4	1	
1	199	51	0	[17, 16, 17]	0	14701	1	4	1	
1	200	54	1	[7, 14]	0	15310	3	5	0	
1	201	60	1	[1, 7]	0	8664	1	2	1	
1	202	59	1	[8, 2, 9]	0	1081	3	2	1	
1	203	24	0	[]	2	18015	3	4	1	
1	204	31	1	[16]	0	1659	1	2	1	
1	205	24	0	[1, 8]	0	14250	3	3	1	
1	206	18	0	[14, 10]	2	9889	3	2	1	
1	207	51	0	[]	0	12765	3	1	1	
1	208	42	1	[5]	0	108323	3	5	1	
1	209	28	1	[16, 0]	0	3001	3	2	1	
1	210	18	0	[5]	0	118079	1	2	1	
1	211	28	0	[16, 0, 8]	0	8600	3	4	1	
1	212	22	1	[8, 15, 0, 8]	1	371	3	4	1	
1	213	69	1	[7, 2, 7, 2]	0	7876	3	3	2	
1	214	51	1	[]	0	1449	3	2	1	
1	215	69	0	[0]	0	3101	3	3	2	
1	216	29	0	[7, 11, 1]	0	109561	1	2	1	
1	217	89	0	[]	0	1940	3	4	2	
1	218	21	0	[0, 15, 3]	2	11129	3	3	0	
1	219	60	0	[6]	0	2599	3	4	1	
1	220	37	0	[3]	0	2374	1	2	1	
1	221	60	0	[]	0	2631	3	3	1	
1	222	32	0	[5, 15, 13, 16]	0	15643	3	3	1	
1	223	32	0	[8, 9]	0	106618	3	4	1	
1	224	20	0	[8, 17, 4]	3	16772	2	3	1	
1	225	35	0	[14, 6, 11]	0	3206	3	2	1	
1	226	81	0	[13, 9]	0	98670	3	5	2	
1	227	25	0	[8, 11, 14, 5]	2	6725	3	3	1	
1	228	36	0	[16, 8, 12, 4]	0	14080	1	2	0	
1	229	20	0	[0]	0	15069	1	1	1	
1	230	18	0	[]	0	2661	3	5	1	
1	231	23	1	[17, 11, 15]	0	13211	1	2	1	
1	232	45	1	[7]	0	697	3	4	0	
1	233	22	1	[15]	1	874	3	3	1	
1	234	68	0	[9]	0	3369	1	4	2	
1	235	74	0	[]	0	2563	3	3	2	
1	236	35	1	[8, 0, 11]	0	3969	3	4	1	
1	237	30	0	[15, 11]	0	117504	3	5	1	
1	238	20	0	[17]	0	100174	3	4	1	
1	239	21	0	[1, 12]	0	9720	3	3	1	
1	240	82	0	[15, 14, 17, 9]	0	109965	3	4	2	
1	241	23	1	[9, 5, 4, 4]	0	3620	3	3	1	
1	242	53	0	[1, 3, 2, 1]	0	351	1	2	1	
1	243	64	0	[]	0	98984	1	2	1	
1	244	25	0	[]	0	598	3	3	1	
1	245	65	1	[6, 8, 3, 15]	0	10786	3	4	1	
1	246	80	0	[9, 15, 13]	0	2411	3	5	2	
1	247	30	0	[]	0	119316	2	2	1	
1	248	22	0	[8, 4]	0	112450	3	3	1	
1	249	19	0	[2, 11]	2	23454	3	3	1	
1	250	82	0	[7, 1, 5]	0	742	3	5	2	
1	251	26	1	[9, 0, 17]	3	19069	3	3	1	
1	252	20	0	[16, 10]	3	2222	1	2	1	
1	253	25	0	[12]	0	2404	1	4	1	
1	254	21	0	[11]	0	2555	3	3	1	
1	255	20	0	[4, 8]	3	10348	3	3	1	
1	256	68	0	[]	0	100305	1	2	2	
1	257	44	0	[]	0	5438	3	2	1	
1	258	45	0	[8, 1, 5]	0	109920	1	2	0	
1	259	21	0	[16, 1, 5]	0	11853	1	2	1	
1	260	55	0	[0, 10, 14]	0	5022	3	3	1	
1	261	20	1	[]	3	16736	1	2	1	
1	262	60	1	[7, 17, 8, 12]	0	944	3	5	0	
1	263	63	0	[16, 2]	0	1150	2	4	1	
1	264	64	1	[]	0	14413	1	2	1	
1	265	30	0	[15, 4, 16, 0]	3	22447	1	2	1	
1	266	82	1	[16, 4, 12]	0	10740	3	2	2	
1	267	25	1	[]	2	17940	3	4	1	
1	268	46	0	[15, 9, 4, 7]	0	2658	1	2	1	
1	269	19	0	[9, 2, 2, 4]	0	2720	3	3	1	
1	270	46	1	[17]	0	5889	3	4	0	
1	271	67	0	[17]	0	2130	3	4	2	
1	272	29	0	[5]	0	13531	3	4	1	
1	273	60	1	[14, 8, 11, 1]	0	3012	1	2	1	
1	274	71	0	[]	0	14041	3	5	2	
1	275	19	1	[1]	1	1105	3	3	1	
1	276	54	0	[5]	0	115650	1	2	0	
1	277	42	1	[3]	0	1798	3	3	1	
1	278	25	0	[0, 4]	3	24506	3	3	1	
1	279	77	0	[5, 17, 13]	0	13596	3	3	2	
1	280	33	0	[10]	1	24562	3	3	1	
1	281	47	1	[11, 2, 6]	0	14655	3	3	1	
1	282	80	0	[4, 17, 5, 7]	0	1399	3	3	2	
1	283	30	1	[17, 9, 16, 9]	0	701	3	2	1	
1	284	32	0	[11, 6, 11, 13]	0	2383	3	3	1	
1	285	38	1	[12, 3, 10, 17]	0	3121	1	2	1	
1	286	30	1	[1, 10, 17]	0	113355	2	3	0	
1	287	51	0	[16, 5]	0	455	3	2	1	
1	288	38	0	[5, 9, 5, 8]	0	4338	1	2	1	
1	289	42	0	[9, 13]	0	2660	3	3	1	
1	290	24	0	[7, 2, 5, 7]	1	19069	1	4	1	
1	291	29	1	[8, 0, 5, 9]	0	1796	3	3	0	
1	292	19	0	[2, 3, 0, 3]	0	9893	3	4	1	
1	293	19	0	[13, 1, 0]	0	3154	1	2	1	
1	294	71	0	[17, 5, 2]	0	1725	1	2	2	
1	295	49	0	[6, 5, 5, 16]	0	2756	3	3	1	
1	296	50	0	[5]	0	101121	3	5	1	
1	297	22	0	[]	0	113179	3	2	1	
1	298	44	1	[13]	0	14473	3	4	1	
1	299	82	1	[9, 15, 14]	0	13345	3	3	2	
1	300	36	1	[]	0	14201	3	3	1	
1	301	33	0	[]	0	13571	3	2	1	
1	302	65	0	[7, 4, 5]	0	2403	3	3	1	
1	303	54	1	[6]	0	15093	3	5	1	
1	304	23	0	[5]	1	6872	3	3	1	
1	305	23	0	[2, 5, 1]	3	14673	3	5	1	
1	306	20	0	[2, 9, 12]	1	19229	3	2	0	
1	307	31	1	[5]	0	14442	1	2	1	
1	308	40	1	[16, 16, 10, 2]	0	10550	1	3	1	
1	309	62	1	[6, 16]	0	2445	3	2	0	
1	310	22	0	[11, 8, 9]	3	16651	3	4	0	
1	311	50	0	[14]	0	14641	3	3	1	
1	312	56	0	[7, 8, 9]	0	12566	3	3	1	
1	313	24	0	[8]	3	15703	3	3	1	
1	314	29	0	[4, 14, 9, 6]	0	5287	3	4	1	
1	315	62	0	[3, 2]	0	15634	2	3	1	
1	316	20	0	[3, 5]	0	101836	3	2	0	
1	317	25	1	[2, 5, 17]	0	7609	3	3	1	
1	318	18	1	[4, 13]	0	2375	2	3	1	
1	319	86	1	[8, 5]	0	2876	3	2	2	
1	320	23	0	[]	1	11523	3	3	1	
1	321	80	0	[9, 3, 5, 0]	0	2930	2	3	2	
1	322	60	1	[]	0	2236	3	3	1	
1	323	25	1	[5]	3	15599	3	2	1	
1	324	66	0	[9, 9, 9, 9]	0	4484	3	2	2	
1	325	27	1	[17]	0	106798	1	2	1	
1	326	22	0	[0, 14]	0	11177	3	3	1	
1	327	20	0	[17, 13, 10]	1	17220	1	2	1	
1	328	22	0	[12]	3	1747	3	5	1	
1	329	18	1	[12, 13]	0	5555	3	3	1	
1	330	29	0	[9, 15]	0	3255	3	3	0	
1	331	79	0	[2]	0	98254	1	2	2	
1	332	26	0	[12, 15]	3	3665	3	5	1	
1	333	58	0	[6, 13, 7, 6]	0	867	3	3	0	
1	334	22	0	[13]	3	15433	3	2	1	
1	335	56	0	[16, 6]	0	2936	3	5	1	
1	336	62	0	[8, 15]	0	8931	3	4	1	
1	337	25	1	[12, 4, 8]	0	98049	1	2	1	
1	338	30	0	[]	0	11539	1	1	1	
1	339	35	1	[10, 11]	0	14993	3	3	1	
1	340	21	1	[8]	0	1519	3	4	1	
1	341	21	1	[2, 10]	1	3056	3	5	1	
1	342	47	0	[11]	0	10005	3	4	1	
1	343	29	0	[17, 8, 15]	1	5808	3	2	1	
1	344	30	1	[17, 7]	0	5847	3	4	1	
1	345	36	0	[0]	1	25204	3	2	1	
1	346	60	0	[12, 16, 15]	0	3236	1	2	0	
1	347	68	0	[0]	0	2600	1	2	2	
1	348	87	0	[]	0	3938	1	1	2	
1	349	19	0	[2, 8, 12]	2	5420	1	2	1	
1	350	74	0	[17]	0	108114	3	3	2	
1	351	50	0	[]	0	106597	3	4	1	
1	352	24	1	[13]	3	7885	1	2	1	
1	353	56	0	[10]	0	14007	3	2	1	
1	354	32	1	[3, 15]	0	13741	3	4	1	
1	355	62	1	[8, 10]	0	2653	1	2	1	
1	356	40	0	[]	0	15513	1	3	1	
1	357	44	0	[3, 0]	0	13800	3	3	1	
1	358	18	0	[9]	0	12894	1	1	1	
1	359	21	0	[8]	3	119610	3	3	1	
1	360	43	0	[]	0	2540	1	2	1	
1	361	37	0	[10, 2, 2]	0	13277	1	2	0	
1	362	65	1	[13]	0	1884	3	3	0	
1	363	32	1	[17, 11]	0	1433	3	5	1	
1	364	89	0	[12]	0	9118	1	4	2	
1	365	38	0	[16, 14, 8]	0	2585	3	4	1	
1	366	69	1	[4, 7]	0	2850	2	2	2	
1	367	57	0	[4]	0	8452	3	2	1	
1	368	18	1	[15, 10, 1]	1	18198	3	4	1	
1	369	45	0	[5, 17]	0	2869	3	2	1	
1	370	63	0	[11, 1, 14]	0	5291	3	4	1	
1	371	68	0	[5]	0	9591	3	4	2	
1	372	50	1	[1, 12, 0]	0	4093	1	2	0	
1	373	62	0	[]	0	14619	3	4	1	
1	374	28	0	[]	0	2763	1	1	1	
1	375	20	1	[15, 2]	3	10505	3	2	1	
1	376	21	1	[14, 10]	3	23696	3	5	1	
1	377	33	1	[14]	0	12842	3	3	1	
1	378	19	0	[16, 5, 1]	0	8150	3	3	1	
1	379	25	0	[4, 13, 16, 10]	0	14221	3	3	1	
1	380	25	0	[12, 2, 13]	0	112997	3	2	1	
1	381	33	1	[12]	0	9048	3	5	1	
1	382	54	0	[5, 1, 17, 14]	0	5243	3	4	0	
1	383	35	1	[]	0	111184	3	4	1	
1	384	58	1	[]	0	5965	3	3	1	
1	385	40	0	[8, 1]	0	119929	1	2	1	
1	386	46	0	[6]	0	3056	3	5	1	
1	387	32	0	[16, 3]	1	6162	1	2	1	
1	388	23	0	[]	3	16646	3	5	1	
1	389	89	0	[1, 2, 14, 8]	0	13271	3	3	2	
1	390	46	0	[0, 13, 4]	1	7049	2	3	1	
1	391	47	0	[16, 6, 1]	0	8701	3	5	1	
1	392	42	1	[5, 13, 15, 15]	0	3102	2	2	1	
1	393	23	0	[7, 10, 8]	0	102466	3	2	1	
1	394	50	0	[10, 5, 5, 1]	0	115356	3	4	1	
1	395	21	1	[]	0	108805	3	4	1	
1	396	77	1	[3, 2]	0	15629	3	2	2	
1	397	23	1	[11, 4, 17]	0	1008	3	3	1	
1	398	55	0	[9, 10, 1, 15]	0	105713	1	2	1	
1	399	90	0	[1, 8, 11, 8]	0	7700	3	3	2	
1	400	27	0	[7, 11]	0	6224	3	2	1	
1	401	28	0	[4, 1, 6]	0	1100	3	3	0	
1	402	32	0	[11, 3, 7]	1	16044	3	3	1	
1	403	55	0	[]	0	8130	1	2	1	
1	404	21	1	[5]	0	9989	3	3	1	
1	405	59	0	[14, 2, 5]	0	8006	3	2	1	
1	406	22	0	[5]	1	18846	3	1	1	
1	407	27	1	[]	0	13594	3	3	1	
1	408	85	1	[14, 13, 14]	0	2701	3	4	2	
1	409	41	1	[6, 12]	0	3118	3	5	1	
1	410	63	0	[2, 6, 3, 0]	0	719	2	3	1	
1	411	81	0	[2, 16]	0	98365	1	2	2	
1	412	23	0	[8]	2	7944	3	3	1	
1	413	29	1	[]	0	1299	1	1	1	
1	414	18	0	[8, 0]	0	2600	3	4	1	
1	415	56	0	[14, 4, 2, 17]	0	7904	3	2	1	
1	416	36	1	[8, 2]	0	5205	3	3	0	
1	417	84	0	[14, 1, 5, 15]	0	10507	3	3	2	
1	418	33	0	[13, 14, 12]	0	10654	3	4	1	
1	419	41	1	[14, 13, 9, 17]	0	8561	1	4	1	
1	420	20	0	[7, 7, 4]	2	23535	3	2	1	
1	421	24	1	[8]	2	11370	1	2	1	
1	422	84	0	[13, 10]	0	15411	3	3	2	
1	423	71	0	[17, 8]	0	3081	2	3	2	
1	424	26	0	[3]	0	2870	3	5	1	
1	425	56	1	[9, 2, 6]	0	3187	3	5	1	
1	426	26	0	[]	0	15128	3	3	1	
1	427	35	0	[13, 0, 14, 1]	0	5263	3	3	1	
1	428	80	1	[7, 6, 7]	0	96633	1	2	2	
1	429	20	0	[13, 15, 6]	0	3968	1	1	1	
1	430	22	1	[10]	0	3146	3	2	1	
1	431	47	1	[15, 6, 8]	0	8211	3	4	1	
1	432	29	0	[16, 2]	1	22944	3	3	1	
1	433	87	0	[13, 8]	0	101176	1	1	2	
1	434	25	0	[2, 5, 6]	0	2994	3	3	1	
1	435	40	1	[1, 0]	0	13795	3	3	1	
1	436	19	0	[0, 11, 11, 0]	3	2563	3	5	1	
1	437	73	0	[1, 9, 8]	0	2934	1	2	2	
1	438	31	0	[12, 3, 3]	0	9656	3	4	1	
1	439	84	0	[]	0	15327	3	3	2	
1	440	41	0	[13, 8, 8, 9]	0	12081	3	2	0	
1	441	23	0	[11, 14]	0	2958	2	2	1	
1	442	28	0	[]	0	15492	3	3	0	
1	443	21	1	[6, 8]	0	13427	2	3	1	
1	444	59	0	[]	0	8145	3	2	1	
1	445	23	0	[1, 17, 4]	3	5479	1	2	1	
1	446	24	1	[8]	2	119430	3	2	1	
1	447	79	1	[1, 10, 16]	0	12640	3	5	2	
1	448	22	1	[9, 14, 6]	2	8544	3	3	1	
1	449	74	0	[]	0	13089	3	4	2	
1	450	72	0	[1, 0, 5, 8]	0	9254	3	3	2	
1	451	80	0	[]	0	13055	1	2	2	
1	452	44	0	[16, 3, 0, 3]	0	12547	3	3	1	
1	453	57	0	[14, 1, 8]	0	13411	3	4	1	
1	454	29	0	[7, 1, 5, 11]	0	116685	3	4	1	
1	455	29	0	[]	0	2429	3	1	1	
1	456	22	0	[12]	0	99266	3	4	1	
1	457	33	0	[17, 8]	0	7530	3	3	1	
1	458	79	0	[3]	0	98396	3	2	2	
1	459	32	1	[6, 5]	0	2675	3	2	0	
1	460	43	0	[]	0	2419	3	4	1	
1	461	55	0	[]	0	8948	3	3	1	
1	462	37	0	[14, 14, 12]	0	2548	3	3	1	
1	463	50	0	[10, 6, 5]	0	1704	1	2	1	
1	464	74	0	[]	0	2702	3	2	2	
1	465	65	1	[4, 12]	0	770	3	3	0	
1	466	76	0	[]	0	10214	3	5	2	
1	467	39	0	[]	0	14073	1	3	1	
1	468	58	1	[9]	0	10630	3	2	1	
1	469	51	0	[]	0	8758	3	3	1	
1	470	75	1	[14, 14, 13, 10]	0	6149	3	2	2	
1	471	31	1	[11, 10, 3, 6]	0	5767	3	2	1	
1	472	48	0	[11, 0]	0	3160	3	3	1	
1	473	19	0	[3]	3	137	3	4	1	
1	474	79	0	[11, 5]	0	114266	3	5	2	
1	475	34	0	[15]	0	13505	1	2	1	
1	476	58	0	[4, 15]	0	975	3	3	1	
1	477	27	0	[5]	0	4799	3	3	1	
1	478	49	0	[0]	0	100367	3	3	1	
1	479	28	0	[]	0	15427	1	2	1	
1	480	86	0	[]	0	12561	3	4	2	
1	481	24	0	[17, 10]	1	19418	3	2	1	
1	482	49	1	[10]	0	15465	3	4	1	
1	483	20	0	[]	1	9878	1	2	1	
1	484	36	0	[9, 1, 6]	0	2891	3	3	1	
1	485	21	0	[]	1	15252	1	2	1	
1	486	59	1	[15, 15, 3]	0	2846	3	4	1	
1	487	29	0	[2, 4, 17, 0]	0	98817	3	3	1	
1	488	63	0	[9]	0	3397	3	4	1	
1	489	43	0	[13, 13, 15, 7]	0	108645	1	2	1	
1	490	83	1	[16]	0	4631	3	4	2	
1	491	29	1	[2, 13, 14]	0	119257	3	3	1	
1	492	52	1	[14, 7, 17, 6]	0	13285	3	3	1	
1	493	26	0	[16, 11, 16]	0	13658	3	2	1	
1	494	20	0	[]	2	4220	3	4	1	
1	495	32	1	[16, 8]	0	2667	3	3	1	
1	496	45	0	[3, 4]	0	2552	3	3	1	
1	497	56	0	[16]	0	12831	3	3	1	
1	498	71	0	[9, 12]	0	14119	3	3	2	
1	499	27	0	[12, 12]	0	10174	3	2	1	
1	500	18	0	[10, 8]	0	2921	3	4	1	
1	501	63	0	[2, 7, 8, 12]	0	102196	1	2	1	
1	502	55	0	[2, 1, 12, 11]	0	15078	3	3	1	
1	503	18	1	[17, 3, 0, 6]	3	26769	3	3	1	
1	504	25	0	[]	2	7442	3	3	0	
1	505	60	0	[14, 12, 13, 12]	0	5866	3	4	1	
1	506	24	0	[17, 0]	1	15195	3	5	1	
